time,Labels,class_name
0,0,Normal Operation
208,0,Normal Operation
416,0,Normal Operation
624,0,Normal Operation
832,0,Normal Operation
1040,0,Normal Operation
1248,0,Normal Operation
1456,0,Normal Operation
1664,0,Normal Operation
1872,0,Normal Operation
2080,0,Normal Operation
2288,0,Normal Operation
2496,0,Normal Operation
2704,0,Normal Operation
2912,0,Normal Operation
3120,0,Normal Operation
3328,0,Normal Operation
3536,0,Normal Operation
3744,0,Normal Operation
3952,0,Normal Operation
4160,0,Normal Operation
4368,0,Normal Operation
4576,0,Normal Operation
4784,0,Normal Operation
4992,0,Normal Operation
5200,0,Normal Operation
5408,0,Normal Operation
5616,0,Normal Operation
5824,0,Normal Operation
6032,0,Normal Operation
6240,0,Normal Operation
6448,0,Normal Operation
6656,0,Normal Operation
6864,0,Normal Operation
7072,0,Normal Operation
7280,0,Normal Operation
7488,0,Normal Operation
7696,0,Normal Operation
7904,0,Normal Operation
8112,0,Normal Operation
8320,0,Normal Operation
8528,0,Normal Operation
8736,0,Normal Operation
8944,0,Normal Operation
9152,0,Normal Operation
9360,0,Normal Operation
9568,0,Normal Operation
9776,0,Normal Operation
9984,0,Normal Operation
10192,0,Normal Operation
10400,0,Normal Operation
10608,0,Normal Operation
10816,0,Normal Operation
11024,0,Normal Operation
11232,0,Normal Operation
11440,0,Normal Operation
11648,0,Normal Operation
11856,0,Normal Operation
12064,0,Normal Operation
12272,0,Normal Operation
12480,0,Normal Operation
12688,0,Normal Operation
12896,0,Normal Operation
13104,0,Normal Operation
13312,0,Normal Operation
13520,0,Normal Operation
13728,0,Normal Operation
13936,0,Normal Operation
14144,0,Normal Operation
14352,0,Normal Operation
14560,0,Normal Operation
14768,0,Normal Operation
14976,0,Normal Operation
15184,0,Normal Operation
15392,0,Normal Operation
15600,0,Normal Operation
15808,0,Normal Operation
16016,0,Normal Operation
16224,0,Normal Operation
16432,0,Normal Operation
16640,0,Normal Operation
16848,0,Normal Operation
17056,0,Normal Operation
